language	number	form	predicted	accuracy
AgamNyishi	10	ɹiŋ	12	0
AgamNyishi	11	ɹiŋkin	11	1
AgamNyishi	12	ɹiŋni	12	1
AgamNyishi	13	ɹiŋom	13	1
AgamNyishi	14	ɹiŋpʰi	14	1
AgamNyishi	15	ɹiŋŋo	15	1
AgamNyishi	16	ɹiŋkʰe	16	1
AgamNyishi	17	ɹiŋkɘn	17	1
AgamNyishi	18	ɹiŋpin	18	1
AgamNyishi	19	ɹiŋkʰja	19	1
AgamNyishi	20	ʧamni	22	0
AgamNyishi	21	ʧamnilekin	21	1
AgamNyishi	22	ʧamnileni	22	1
AgamNyishi	23	ʧamnileom	23	1
AgamNyishi	24	ʧamnilepʰi	24	1
AgamNyishi	25	ʧamnileŋo	25	1
AgamNyishi	26	ʧamnilekʰe	26	1
AgamNyishi	27	ʧamnilekɘn	27	1
AgamNyishi	28	ʧamnilepin	28	1
AgamNyishi	29	ʧamnilekʰja	29	1
AgamNyishi	30	ʧamum	30	1
AgamNyishi	31	ʧamumlekin	31	1
AgamNyishi	32	ʧamumleni	32	1
AgamNyishi	33	ʧamumleom	33	1
AgamNyishi	34	ʧamumlepʰi	34	1
AgamNyishi	35	ʧamumleŋo	35	1
AgamNyishi	36	ʧamumlekʰe	36	1
AgamNyishi	37	ʧamumlekɘn	37	1
AgamNyishi	38	ʧamumlepin	38	1
AgamNyishi	39	ʧamumlekʰja	39	1
AgamNyishi	40	ʧampi	80	0
AgamNyishi	41	ʧampilekin	41	1
AgamNyishi	42	ʧampileni	42	1
AgamNyishi	43	ʧampileom	43	1
AgamNyishi	44	ʧampilepʰi	44	1
AgamNyishi	45	ʧampileŋo	45	1
AgamNyishi	46	ʧampilekʰe	46	1
AgamNyishi	47	ʧampilekɘn	47	1
AgamNyishi	48	ʧampilepin	48	1
AgamNyishi	49	ʧampilekʰja	49	1
AgamNyishi	50	ʧamŋo	55	0
AgamNyishi	51	ʧamŋolekʰin	51	1
AgamNyishi	52	ʧamŋoleni	52	1
AgamNyishi	53	ʧamŋoleom	53	1
AgamNyishi	54	ʧamŋolepʰi	54	1
AgamNyishi	55	ʧamŋoleŋo	55	1
AgamNyishi	56	ʧamŋolekʰe	56	1
AgamNyishi	57	ʧamŋolekɘn	57	1
AgamNyishi	58	ʧamŋolepin	58	1
AgamNyishi	59	ʧamŋolekʰja	59	1
AgamNyishi	60	ʧamkʰe	66	0
AgamNyishi	61	ʧamkʰelekʰin	61	1
AgamNyishi	62	ʧamkʰeleni	62	1
AgamNyishi	63	ʧamkʰeleom	63	1
AgamNyishi	64	ʧamkʰelepʰi	64	1
AgamNyishi	65	ʧamkʰeleŋo	65	1
AgamNyishi	66	ʧamkʰelekʰe	66	1
AgamNyishi	67	ʧamkʰelekɘn	67	1
AgamNyishi	68	ʧamkʰelepin	68	1
AgamNyishi	69	ʧamkʰelekʰja	69	1
AgamNyishi	70	ʧamkɘn	77	0
AgamNyishi	71	ʧamkɘnlekʰin	71	1
AgamNyishi	72	ʧamkɘnleni	72	1
AgamNyishi	73	ʧamkɘnleom	73	1
AgamNyishi	74	ʧamkɘnlepʰi	74	1
AgamNyishi	75	ʧamkɘnleŋo	75	1
AgamNyishi	76	ʧamkɘnlekʰe	76	1
AgamNyishi	77	ʧamkɘnlekɘn	77	1
AgamNyishi	78	ʧamkɘnlepin	78	1
AgamNyishi	79	ʧamkɘnlekʰja	79	1
AgamNyishi	80	ʧampin	48	0
AgamNyishi	81	ʧampinlekʰin	81	1
AgamNyishi	82	ʧɑmpinleni	82	1
AgamNyishi	83	ʧampinleom	83	1
AgamNyishi	84	ʧampinlepʰi	84	1
AgamNyishi	85	ʧampinleŋo	85	1
AgamNyishi	86	ʧampinlekʰe	86	1
AgamNyishi	87	ʧampinlekɘn	87	1
AgamNyishi	88	ʧampinlepin	88	1
AgamNyishi	89	ʧampinlekʰja	89	1
AgamNyishi	90	ʧamkʰja	99	0
AgamNyishi	91	ʧamkʰjalekʰin	91	1
AgamNyishi	92	ʧamkʰjaleni	92	1
AgamNyishi	93	ʧamkʰjaleom	93	1
AgamNyishi	94	ʧamkʰjalepʰi	94	1
AgamNyishi	95	ʧamkʰjaleŋo	95	1
AgamNyishi	96	ʧamkʰjalekʰe	96	1
AgamNyishi	97	ʧamkʰjalekɘn	97	1
AgamNyishi	98	ʧamkʰjalepin	98	1
AgamNyishi	99	ʧamkʰjalekʰja	99	1
Angami	01	puʋo	00	0
Angami	02	kenɨje	02	1
Angami	03	sɛʰ	03	1
Angami	04	dɨjeh	04	1
Angami	05	peŋu	05	1
Angami	06	sɔruʰ	06	1
Angami	07	tʰenije	07	1
Angami	08	tʰɛtʰɑ	88	0
Angami	09	tʰɛθ	09	1
Angami	10	kɛrə	10	1
Angami	11	kɛrəpo	11	1
Angami	12	kɛrəkenɨje	12	1
Angami	13	kɛrəsɛʰ	13	1
Angami	14	kɛrədɨjeh	14	1
Angami	15	kɛrəpeŋu	15	1
Angami	16	kɛrəsɔruʰ	16	1
Angami	17	kɛrətʰenije	17	1
Angami	18	kɛrətʰɛtʰɑ	18	1
Angami	19	kɛrətʰɛθ	19	1
Angami	20	mɛθə	20	1
Angami	21	mɛθəpo	21	1
Angami	22	mɛθəkenɨje	22	1
Angami	23	mɛθəsɛʰ	23	1
Angami	24	mɛθədɨjeh	24	1
Angami	25	mɛθəpeŋu	25	1
Angami	26	mɛθəsɔruʰ	26	1
Angami	27	mɛθətʰenije	27	1
Angami	28	mɛθətʰɛtʰɑ	28	1
Angami	29	mɛθətʰɛθ	29	1
Angami	30	sɛrəɹ	30	1
Angami	31	sɛrəpo	31	1
Angami	32	sɛrəkenɨje	32	1
Angami	33	sɛrəsɛʰ	33	1
Angami	34	sɛrədɨjeh	34	1
Angami	35	sɛrəpeŋu	35	1
Angami	36	sɛrəsɔruʰ	36	1
Angami	37	sɛrətʰenije	37	1
Angami	38	sɛrətʰɛtʰɑ	38	1
Angami	39	sɛrətʰɛθ	39	1
Angami	40	hɛdijeʰ	40	1
Angami	41	hɛdijepo	41	1
Angami	42	hɛdijekenɨje	42	1
Angami	43	hɛdijesɛʰ	43	1
Angami	44	hɛdijedɨjeh	44	1
Angami	45	hɛdijepeŋu	45	1
Angami	46	hɛdijesɔruʰ	46	1
Angami	47	hɛdijetʰenije	47	1
Angami	48	hɛdijetʰɛtʰɑ	48	1
Angami	49	hɛdijetʰɛθ	49	1
Angami	50	hɛpeŋu	55	0
Angami	51	hɛpeŋuʋopo	51	1
Angami	52	hɛpeŋuʋokenɨje	52	1
Angami	53	hɛpeŋuʋosɛʰ	53	1
Angami	54	hɛpeŋuʋodɨjeh	54	1
Angami	55	hɛpeŋuʋopeŋu	55	1
Angami	56	hɛpeŋuʋosɔruʰ	56	1
Angami	57	hɛpeŋuʋotʰenije	57	1
Angami	58	hɛpeŋuʋotʰɛtʰɑ	58	1
Angami	59	hɛpeŋuʋotʰɛθ	59	1
Angami	60	hɛsoru	60	1
Angami	61	hɛsoruʋopo	61	1
Angami	62	hɛsoruʋokenɨje	62	1
Angami	63	hɛsoruʋosɛʰ	63	1
Angami	64	hɛsoruʋodɨjeh	64	1
Angami	65	hɛsoruʋopeŋu	65	1
Angami	66	hɛsoruʋosɔruʰ	66	1
Angami	67	hɛsoruʋotʰenije	67	1
Angami	68	hɛsoruʋotʰɛtʰɑ	68	1
Angami	69	hɛsoruʋotʰɛθ	69	1
Angami	70	hɛtʰenije	77	0
Angami	71	hɛtʰenijepo	71	1
Angami	72	hɛtʰenijekenɨje	72	1
Angami	73	hɛtʰenijesɛʰ	73	1
Angami	74	hɛtʰenijedɨjeh	74	1
Angami	75	hɛtʰenijepeŋu	75	1
Angami	76	hɛtʰenijesɔruʰ	76	1
Angami	77	hɛtʰenijetʰenije	77	1
Angami	78	hɛtʰenijetʰɛtʰɑ	77	0
Angami	79	hɛtʰenijetʰɛθ	77	0
Angami	80	hɛtʰɛtʰɑ	88	0
Angami	81	hɛtʰɛtʰɑpo	81	1
Angami	82	hɛtʰɛtʰɑkenɨje	82	1
Angami	83	hɛtʰɛtʰɑsɛʰ	83	1
Angami	84	hɛtʰɛtʰɑdɨjeh	84	1
Angami	85	hɛtʰɛtʰɑpeŋu	85	1
Angami	86	hɛtʰɛtʰɑsɔruʰ	86	1
Angami	87	hɛtʰɛtʰɑtʰenije	77	0
Angami	88	hɛtʰɛtʰɑtʰɛtʰɑ	88	1
Angami	89	hɛtʰɛtʰɑtʰɛθ	89	1
Angami	90	hɛtʰɛθ	99	0
Angami	91	hɛtʰɛθpo	91	1
Angami	92	hɛtʰɛθkenɨje	92	1
Angami	93	hɛtʰɛθsɛʰ	93	1
Angami	94	hɛtʰɛθdɨjeh	94	1
Angami	95	hɛtʰɛθpeŋu	95	1
Angami	96	hɛtʰɛθsɔruʰ	96	1
Angami	97	hɛtʰɛθtʰenije	77	0
Angami	98	hɛtʰɛθtʰɛtʰɑ	98	1
Angami	99	hɛtʰɛθtʰɛθ	99	1
Ao_1	01	kʰɑ	01	1
Ao_1	02	ənnɑ	02	1
Ao_1	03	əʃəm	03	1
Ao_1	04	pizzə	04	1
Ao_1	05	puŋo	05	1
Ao_1	06	ʈʰruk	06	1
Ao_1	07	tənət	07	1
Ao_1	08	ʈʰɪ	08	1
Ao_1	09	ʈʰuku	09	1
Ao_1	10	tʰər	10	1
Ao_1	11	tʰərkʰɑ	11	1
Ao_1	12	tʰərənnɑ	12	1
Ao_1	13	tʰərəʃəm	13	1
Ao_1	14	tʰərpiʒʒə	10	0
Ao_1	15	tʰərpuŋo	15	1
Ao_1	16	tʰərʈʰruk	16	1
Ao_1	17	tʰərtənət	17	1
Ao_1	18	tʰərʈʰɪ	18	1
Ao_1	19	tʰərʈʰuku	19	1
Ao_1	20	metdʒəɹ	20	1
Ao_1	21	metdʒərkʰɑ	21	1
Ao_1	22	metdʒərənnɑ	22	1
Ao_1	23	metdʒərəʃəm	23	1
Ao_1	24	metdʒərpizzə	24	1
Ao_1	25	metdʒərpuŋo	25	1
Ao_1	26	metdʒərʈʰruk	26	1
Ao_1	27	metdʒərtənət	27	1
Ao_1	28	metdʒərʈʰɪ	28	1
Ao_1	29	metdʒərʈʰuku	29	1
Ao_1	30	səməɹ	30	1
Ao_1	31	səməɹkʰɑ	31	1
Ao_1	32	səməɹənnɑ	32	1
Ao_1	33	səməɹəʃəm	33	1
Ao_1	34	səməɹpizzə	34	1
Ao_1	35	səməɹpuŋo	35	1
Ao_1	36	səməɹʈʰruk	36	1
Ao_1	37	səməɹtənət	37	1
Ao_1	38	səməɹʈʰɪ	38	1
Ao_1	39	səməɹʈʰuku	39	1
Ao_1	40	lijəɹ	40	1
Ao_1	41	lijəɹkʰɑ	41	1
Ao_1	42	lijəɹənnɑ	42	1
Ao_1	43	lijəɹəʃəm	43	1
Ao_1	44	lijəɹpizzə	44	1
Ao_1	45	lijəɹpuŋo	45	1
Ao_1	46	lijəɹʈʰruk	46	1
Ao_1	47	lijəɹtənət	47	1
Ao_1	48	lijəɹʈʰɪ	48	1
Ao_1	49	lijəɹʈʰuku	49	1
Ao_1	50	tʰənəm	53	0
Ao_1	51	tʰənəmərkʰɑ	51	1
Ao_1	52	tʰənəmərənnɑ	52	1
Ao_1	53	tʰənəmərəʃəm	53	1
Ao_1	54	tʰənəmərpizzə	54	1
Ao_1	55	tʰənəmərpuŋo	55	1
Ao_1	56	tʰənəmərʈʰruk	56	1
Ao_1	57	tʰənəmərtənət	57	1
Ao_1	58	tʰənəmərʈʰɪ	58	1
Ao_1	59	tʰənəmərʈʰuku	59	1
Ao_1	60	rokəɹ	60	1
Ao_1	61	rokəɹkʰɑ	61	1
Ao_1	62	rokəɹənnɑ	62	1
Ao_1	63	rokəɹəʃəm	63	1
Ao_1	64	rokəɹpizzə	64	1
Ao_1	65	rokəɹpuŋo	65	1
Ao_1	66	rokəɹʈʰruk	66	1
Ao_1	67	rokəɹtənət	67	1
Ao_1	68	rokəɹʈʰɪ	68	1
Ao_1	69	rokəɹʈʰuku	69	1
Ao_1	70	nəttər	70	1
Ao_1	71	nəttərkʰɑ	71	1
Ao_1	72	nəttərənnɑ	72	1
Ao_1	73	nəttərəʃəm	73	1
Ao_1	74	nəttərpizzə	74	1
Ao_1	75	nəttərpuŋo	75	1
Ao_1	76	nəttərʈʰruk	76	1
Ao_1	77	nəttərtənət	77	1
Ao_1	78	nəttərʈʰɪ	78	1
Ao_1	79	nəttərʈʰuku	79	1
Ao_1	80	tʰiər	80	1
Ao_1	81	tʰiərkʰɑ	81	1
Ao_1	82	tʰiərənnɑ	82	1
Ao_1	83	tʰiərəʃəm	83	1
Ao_1	84	tʰiərpizzə	84	1
Ao_1	85	tʰiərpuŋo	85	1
Ao_1	86	tʰiərʈʰruk	86	1
Ao_1	87	tʰiərtənət	87	1
Ao_1	88	tʰiərʈʰɪ	88	1
Ao_1	89	tʰiərʈʰuku	89	1
Ao_1	90	tʰukoɹ	90	1
Ao_1	91	tʰukoɹkʰɑ	91	1
Ao_1	92	tʰukoɹənnɑ	92	1
Ao_1	93	tʰukoɹəʃəm	93	1
Ao_1	94	tʰukoɹpizzə	94	1
Ao_1	95	tʰukoɹpuŋo	95	1
Ao_1	96	tʰukoɹʈʰruk	96	1
Ao_1	97	tʰukoɹtənət	97	1
Ao_1	98	tʰukoɹʈʰɪ	98	1
Ao_1	99	tʰukoɹʈʰuku	99	1
Ao_2	01	kha	00	0
Ao_2	02	ənna	02	1
Ao_2	03	asɘm	03	1
Ao_2	04	pɘzɘ	04	1
Ao_2	05	puŋu	05	1
Ao_2	06	tɘɹok	16	0
Ao_2	07	tɘnɘt	57	0
Ao_2	08	thi	00	0
Ao_2	09	tɘku	09	1
Ao_2	10	tɘɹ	10	1
Ao_2	11	tɘɹkʰa	11	1
Ao_2	12	tɘɹənna	12	1
Ao_2	13	tɘɹasɘm	13	1
Ao_2	14	tɘɹpɘzɘ	14	1
Ao_2	15	tɘɹpuŋu	15	1
Ao_2	16	tɘɹtɘɹok	16	1
Ao_2	17	tɘɹtɘnɘt	17	1
Ao_2	18	tɘɹtʰi	18	1
Ao_2	19	tɘɹtɘku	19	1
Ao_2	20	mɘʦɘ	00	0
Ao_2	21	mɘtsɘɹkʰa	21	1
Ao_2	22	mɘtsɘɹənna	22	1
Ao_2	23	mɘtsɘɹasɘm	23	1
Ao_2	24	mɘtsɘɹpɘzɘ	24	1
Ao_2	25	mɘtsɘɹpuŋu	25	1
Ao_2	26	mɘtsɘɹtɘɹok	26	1
Ao_2	27	mɘtsɘɹtɘnɘt	27	1
Ao_2	28	mɘtsɘɹtʰi	28	1
Ao_2	29	mɘtsɘɹtɘku	29	1
Ao_2	30	sɘmɘɹ	30	1
Ao_2	31	sɘmɘɹkʰa	31	1
Ao_2	32	sɘmɘɹənna	32	1
Ao_2	33	sɘmɘɹasɘm	33	1
Ao_2	34	sɘmɘɹpɘzɘ	34	1
Ao_2	35	sɘmɘɹpuŋu	35	1
Ao_2	36	sɘmɘɹtɘɹok	36	1
Ao_2	37	sɘmɘɹtɘnɘt	37	1
Ao_2	38	sɘmɘɹtʰi	38	1
Ao_2	39	sɘmɘɹtəku	30	0
Ao_2	40	liɹ	40	1
Ao_2	41	liɹkʰa	41	1
Ao_2	42	liɹənna	42	1
Ao_2	43	liɹasɘm	43	1
Ao_2	44	liɹpɘzɘ	44	1
Ao_2	45	liɹpuŋu	45	1
Ao_2	46	liɹtɘɹok	46	1
Ao_2	47	liɹtɘnɘt	47	1
Ao_2	48	liɹtʰi	48	1
Ao_2	49	liɹtɘku	49	1
Ao_2	50	tɘnɘm	07	0
Ao_2	51	tɘnɘmsɘɹkʰa	51	1
Ao_2	52	tɘnɘmsɘɹənna	52	1
Ao_2	53	tɘnɘmsɘɹasɘm	53	1
Ao_2	54	tɘnɘmsɘɹpɘzɘ	54	1
Ao_2	55	tɘnɘmsɘɹpuŋu	55	1
Ao_2	56	tɘnɘmsɘɹtɘɹok	56	1
Ao_2	57	tɘnɘmsɘɹtɘnɘt	57	1
Ao_2	58	tɘnɘmsɘɹtʰi	58	1
Ao_2	59	tɘnɘmsɘɹtɘku	59	1
Ao_2	60	ɹikɘɹ	00	0
Ao_2	61	ɹukɘɹkʰa	61	1
Ao_2	62	ɹukɘɹənna	62	1
Ao_2	63	ɹukɘɹasɘm	63	1
Ao_2	64	ɹukɘɹpɘzɘ	64	1
Ao_2	65	ɹukɘɹpuŋu	65	1
Ao_2	66	ɹukɘɹtɘɹok	66	1
Ao_2	67	ɹukɘɹtɘnɘt	67	1
Ao_2	68	ɹukɘɹtʰi	68	1
Ao_2	69	ɹukɘɹtɘku	69	1
Ao_2	70	nɘtɘɹ	70	1
Ao_2	71	nɘtɘɹkʰa	71	1
Ao_2	72	nɘtɘɹənna	72	1
Ao_2	73	nɘtɘɹasɘm	73	1
Ao_2	74	nɘtɘɹpɘzɘ	74	1
Ao_2	75	nɘtɘɹpuŋu	75	1
Ao_2	76	nɘtɘɹtɘɹok	76	1
Ao_2	77	nɘtɘɹtɘnɘt	77	1
Ao_2	78	nɘtɘɹtʰi	78	1
Ao_2	79	nɘtɘɹtɘku	79	1
Ao_2	80	tʰiɹ	80	1
Ao_2	81	tʰiɹkʰa	81	1
Ao_2	82	tʰiɹənna	82	1
Ao_2	83	tʰiɹasɘm	83	1
Ao_2	84	tʰiɹpɘzɘ	84	1
Ao_2	85	tʰiɹpuŋu	85	1
Ao_2	86	tʰiɹtɘɹok	86	1
Ao_2	87	tʰiɹtɘnɘt	87	1
Ao_2	88	tʰiɹtʰi	88	1
Ao_2	89	tʰiɹtɘku	89	1
Ao_2	90	tʰukuɹ	90	1
Ao_2	91	tʰukuɹkʰa	91	1
Ao_2	92	tʰukuɹənna	92	1
Ao_2	93	tʰukuɹasɘm	93	1
Ao_2	94	tʰukuɹpɘzɘ	94	1
Ao_2	95	tʰukuɹpuŋu	95	1
Ao_2	96	tʰukuɹtɘɹok	96	1
Ao_2	97	tʰukuɹtɘnɘt	97	1
Ao_2	98	tʰukuɹtʰi	98	1
Ao_2	99	tʰukuʀtɘku	99	1
Apatani	01	aku	01	1
Apatani	02	ani	02	1
Apatani	03	hiŋɪ	03	1
Apatani	04	pɘlɪ	00	0
Apatani	05	jaŋoi	05	1
Apatani	06	χɘɪ	06	1
Apatani	07	kənoi	07	1
Apatani	08	piɲɪ	08	1
Apatani	09	kuai	09	1
Apatani	10	aliaŋi	10	1
Apatani	11	aliaŋlaaku	11	1
Apatani	12	aliaŋlaani	12	1
Apatani	13	aliaŋlahiŋɪ	13	1
Apatani	14	aliaŋlapɘlɪ	14	1
Apatani	15	aliaŋlaleŋoi	10	0
Apatani	16	aliaŋlaχɘɪ	16	1
Apatani	17	aliaŋlakənoi	17	1
Apatani	18	aliaŋlapiɲɪ	18	1
Apatani	19	aliaŋlakuai	19	1
Apatani	20	niχəɪ	20	1
Apatani	21	niχəɪlaaku	21	1
Apatani	22	niχəɪlaani	22	1
Apatani	23	niχəɪlahiŋɪ	23	1
Apatani	24	niχəɪlapɘlɪ	24	1
Apatani	25	niχəɪlajaŋoi	25	1
Apatani	26	niχəɪlaχɘɪ	26	1
Apatani	27	niχəɪlakənoi	27	1
Apatani	28	niχəɪlapiɲɪ	28	1
Apatani	29	niχəɪlakuai	29	1
Apatani	30	hikʰəi	30	1
Apatani	31	hikʰəilaaku	31	1
Apatani	32	hikʰəilaani	32	1
Apatani	33	hikʰəilahiŋɪ	33	1
Apatani	34	hikʰəilapɘlɪ	34	1
Apatani	35	hikʰəilajaŋoi	35	1
Apatani	36	hikʰəilaχɘɪ	36	1
Apatani	37	hikʰəilakənoi	37	1
Apatani	38	hikʰəilapiɲɪ	38	1
Apatani	39	hikʰəilakuai	39	1
Apatani	40	aləmpɘlɪ	44	0
Apatani	41	aləmpɘlɪlaaku	41	1
Apatani	42	aləmpɘlɪlaani	42	1
Apatani	43	aləmpɘlɪlahiŋɪ	43	1
Apatani	44	aləmpɘlɪlapɘlɪ	44	1
Apatani	45	aləmpɘlɪlajaŋoi	45	1
Apatani	46	aləmpɘlɪlaχɘɪ	46	1
Apatani	47	aləmpɘlɪlakənoi	47	1
Apatani	48	aləmpɘlɪlapiɲɪ	48	1
Apatani	49	aləmpɘlɪlakuai	49	1
Apatani	50	aliaŋoi	55	0
Apatani	51	aliaŋoilaaku	51	1
Apatani	52	aliaŋoilaani	52	1
Apatani	53	aliaŋoilahiŋɪ	53	1
Apatani	54	aliaŋoilapɘlɪ	54	1
Apatani	55	aliaŋoilajaŋoi	55	1
Apatani	56	aliaŋoilaχɘɪ	56	1
Apatani	57	aliaŋoilakənoi	57	1
Apatani	58	aliaŋoilapiɲɪ	58	1
Apatani	59	aliaŋoilakuai	59	1
Apatani	60	aliaŋhɘe	60	1
Apatani	61	aliaŋhɘelaaku	61	1
Apatani	62	aliaŋhɘelaani	62	1
Apatani	63	aliaŋhɘelahiŋɪ	63	1
Apatani	64	aliaŋhɘelapɘlɪ	64	1
Apatani	65	aliaŋhɘelajaŋoi	65	1
Apatani	66	aliaŋhɘelaχɘɪ	66	1
